Holiday Name,Date,Day
New Year's Day,2022-01-01,Saturday
Chinese New Year,2022-02-01,Tuesday
Chinese New Year,2022-02-02,Wednesday
Good Friday,2022-04-15,Friday
Labour Day,2022-05-01,Sunday
Hari Raya Puasa,2022-05-02,Monday
Labour Day (substitute day),2022-05-02,Monday
Hari Raya Haji,2022-07-09,Saturday
National Day,2022-08-09,Tuesday
Deepavali,2022-10-24,Monday
Christmas Day,2022-12-25,Sunday
Christmas Day (substitute day),2022-12-26,Monday
New Year's Day,2023-01-01,Sunday
New Year's Day (substitute day),2023-01-02,Monday
Chinese New Year,2023-01-22,Sunday
Chinese New Year,2023-01-23,Monday
Chinese New Year (substitute day),2023-01-24,Tuesday
Good Friday,2023-04-07,Friday
Hari Raya Puasa,2023-04-21,Friday
Labour Day,2023-05-01,Monday
Hari Raya Haji,2023-06-28,Wednesday
National Day,2023-08-09,Wednesday
Deepavali,2023-11-12,Sunday
Christmas Day,2023-12-25,Monday
